Game,Level,Result,Num of steps,Time
134,easy,0,30,0.0256960391998291
135,easy,0,21,0.01092982292175293
136,easy,0,30,0.0231630802154541
137,easy,0,34,0.03651094436645508
138,easy,0,26,0.02600407600402832
139,easy,0,35,0.03127312660217285
140,easy,0,31,0.023587703704833984
141,easy,0,27,0.02253103256225586
142,easy,0,34,0.0281679630279541
143,easy,0,42,0.06281709671020508
144,easy,0,24,0.014417886734008789
145,easy,0,30,0.0226900577545166
146,easy,0,37,0.04109692573547363
147,easy,1,6,0.007447957992553711
148,easy,0,44,0.045861244201660156
149,easy,1,4,0.0035190582275390625
150,easy,0,34,0.040724992752075195
151,easy,0,29,0.014397859573364258
152,easy,1,8,0.005290031433105469
153,easy,0,34,0.0337827205657959
154,easy,0,20,0.0068416595458984375
155,easy,0,27,0.019778966903686523
156,easy,0,25,0.01650691032409668
157,easy,0,21,0.014367818832397461
158,easy,0,26,0.016810894012451172
159,easy,0,38,0.020960092544555664
160,easy,0,29,0.027816057205200195
161,easy,0,26,0.025838851928710938
162,easy,1,3,0.0020668506622314453
163,easy,1,3,0.002162933349609375
164,easy,0,25,0.014403820037841797
165,easy,1,4,0.003482818603515625
166,easy,1,4,0.003284931182861328
167,easy,0,27,0.02015995979309082
168,easy,0,39,0.03436708450317383
169,easy,0,21,0.016336917877197266
170,easy,1,3,0.0022249221801757812
171,easy,0,25,0.02067089080810547
172,easy,0,26,0.02655792236328125
173,easy,0,40,0.03328204154968262
174,easy,0,32,0.02566218376159668
175,easy,0,24,0.027221202850341797
176,easy,0,30,0.028584957122802734
177,easy,0,31,0.01856708526611328
178,easy,0,32,0.025914907455444336
179,easy,0,29,0.021567106246948242
180,easy,0,29,0.021722793579101562
181,easy,1,3,0.002744913101196289
182,easy,0,39,0.04110074043273926
183,easy,0,36,0.02748894691467285
184,easy,0,28,0.025341033935546875
185,easy,0,37,0.04351687431335449
186,easy,1,3,0.0024900436401367188
187,easy,1,4,0.0032091140747070312
188,easy,1,3,0.0023407936096191406
189,easy,0,14,0.00863194465637207
190,easy,0,28,0.015003204345703125
191,easy,0,30,0.019003868103027344
192,easy,0,31,0.026499271392822266
193,easy,0,33,0.046743154525756836
194,easy,1,4,0.004183769226074219
195,easy,0,28,0.020194053649902344
196,easy,0,23,0.017555952072143555
197,easy,0,24,0.021339893341064453
198,easy,1,3,0.0023527145385742188
199,easy,0,24,0.023239850997924805
200,easy,0,21,0.01219487190246582
201,easy,0,19,0.01143193244934082
202,easy,1,5,0.004261970520019531
203,easy,1,3,0.0021660327911376953
204,easy,0,27,0.022071123123168945
205,easy,0,23,0.013559103012084961
206,easy,0,25,0.017548084259033203
207,easy,0,31,0.020417213439941406
208,easy,1,8,0.00552678108215332
209,easy,0,44,0.05080103874206543
210,easy,0,31,0.02439093589782715
211,easy,0,16,0.012106180191040039
212,easy,0,16,0.0069408416748046875
213,easy,0,23,0.012087821960449219
214,easy,0,25,0.019019126892089844
215,easy,0,26,0.020997047424316406
216,easy,0,24,0.017052173614501953
217,easy,0,20,0.011451005935668945
218,easy,1,4,0.003515958786010742
219,easy,0,21,0.01722121238708496
220,easy,0,32,0.04153704643249512
221,easy,0,46,0.04415631294250488
222,easy,1,7,0.006442070007324219
223,easy,1,3,0.0020580291748046875
224,easy,1,24,0.01616191864013672
225,easy,0,30,0.020081043243408203
226,easy,0,26,0.025186777114868164
227,easy,0,28,0.024848222732543945
228,easy,0,23,0.0165708065032959
229,easy,0,32,0.01851487159729004
230,easy,0,36,0.0366368293762207
231,easy,0,36,0.03312802314758301
232,easy,0,31,0.02605295181274414
233,easy,0,21,0.013024091720581055
234,easy,0,32,0.02762007713317871
235,easy,1,3,0.002468109130859375
236,easy,1,3,0.0023229122161865234
237,easy,1,3,0.002240896224975586
238,easy,0,37,0.03531908988952637
239,easy,0,28,0.02395176887512207
240,easy,0,30,0.02296304702758789
241,easy,0,20,0.0226900577545166
242,easy,0,31,0.02240896224975586
243,easy,0,22,0.014681100845336914
244,easy,0,22,0.021889209747314453
245,easy,1,3,0.002079010009765625
246,easy,0,26,0.018404722213745117
247,easy,0,30,0.029322147369384766
248,easy,0,28,0.029987096786499023
249,easy,0,20,0.01306915283203125
250,easy,0,29,0.020232200622558594
251,easy,0,17,0.008668899536132812
252,easy,0,21,0.017673015594482422
253,easy,0,19,0.01037907600402832
254,easy,0,19,0.01096200942993164
255,easy,1,3,0.0020720958709716797
256,easy,1,3,0.0023469924926757812
257,easy,1,8,0.008651971817016602
258,easy,1,7,0.006226778030395508
259,easy,0,22,0.019343852996826172
260,easy,0,34,0.030587196350097656
261,easy,0,28,0.018115997314453125
262,easy,0,25,0.02276897430419922
263,easy,0,18,0.009829998016357422
264,easy,0,21,0.011906147003173828
265,easy,0,28,0.02433490753173828
266,easy,1,11,0.010773897171020508
267,easy,0,31,0.027664899826049805
268,easy,0,46,0.04727792739868164
269,easy,0,35,0.03165411949157715
270,easy,0,33,0.031993865966796875
271,easy,0,17,0.008445024490356445
272,easy,0,29,0.02314281463623047
273,easy,0,43,0.04603290557861328
274,easy,0,18,0.010696887969970703
275,easy,0,37,0.02596902847290039
276,easy,0,28,0.025068998336791992
277,easy,1,3,0.0021398067474365234
278,easy,0,23,0.019362211227416992
279,easy,1,4,0.003343820571899414
280,easy,0,28,0.021964073181152344
281,easy,0,22,0.015191078186035156
282,easy,0,31,0.033650875091552734
283,easy,0,23,0.02079916000366211
284,easy,0,25,0.016141891479492188
285,easy,0,37,0.031157970428466797
286,easy,1,5,0.004490852355957031
287,easy,1,3,0.0020318031311035156
288,easy,0,23,0.013907909393310547
289,easy,0,30,0.023447751998901367
290,easy,0,29,0.02382373809814453
291,easy,0,33,0.025203943252563477
292,easy,0,31,0.02365899085998535
293,easy,1,4,0.003477811813354492
294,easy,0,31,0.025348901748657227
295,easy,1,3,0.002574920654296875
296,easy,0,35,0.021606922149658203
297,easy,0,30,0.02427387237548828
298,easy,1,3,0.0023910999298095703
299,easy,0,26,0.021847963333129883
300,easy,1,3,0.0023469924926757812
301,easy,0,28,0.02266216278076172
302,easy,0,23,0.012525081634521484
303,easy,0,22,0.013255834579467773
304,easy,0,41,0.03258514404296875
305,easy,0,28,0.023153066635131836
306,easy,1,3,0.0023958683013916016
307,easy,0,34,0.042275190353393555
308,easy,0,35,0.03102898597717285
309,easy,0,39,0.0459749698638916
310,easy,0,26,0.01779007911682129
311,easy,1,3,0.0020868778228759766
312,easy,1,5,0.005254268646240234
313,easy,0,18,0.012006998062133789
314,easy,1,3,0.002137899398803711
315,easy,0,28,0.014455795288085938
316,easy,0,36,0.04224705696105957
317,easy,0,25,0.017631053924560547
318,easy,0,25,0.018349885940551758
319,easy,1,4,0.00308990478515625
320,easy,0,33,0.0295870304107666
321,easy,0,23,0.016484975814819336
322,easy,0,31,0.03543496131896973
323,easy,0,28,0.016473054885864258
324,easy,0,30,0.02976679801940918
325,easy,1,3,0.00243377685546875
326,easy,0,26,0.019311904907226562
327,easy,1,12,0.010465621948242188
328,easy,0,28,0.02265787124633789
329,easy,0,35,0.03386807441711426
330,easy,0,22,0.02012801170349121
331,easy,0,19,0.01285099983215332
332,easy,0,39,0.03241300582885742
333,easy,0,32,0.022970914840698242
334,easy,0,21,0.013810873031616211
335,easy,0,42,0.043103933334350586
336,easy,0,30,0.03048992156982422
337,easy,0,42,0.0393519401550293
338,easy,0,29,0.028177976608276367
339,easy,0,36,0.028642892837524414
340,easy,0,35,0.026095867156982422
341,easy,1,8,0.007403135299682617
342,easy,1,4,0.003319978713989258
343,easy,0,35,0.026623964309692383
344,easy,1,3,0.002019166946411133
345,easy,0,28,0.031115055084228516
346,easy,1,4,0.003565073013305664
347,easy,1,3,0.0021429061889648438
348,easy,0,34,0.028882980346679688
349,easy,0,41,0.038207292556762695
350,easy,1,4,0.003058910369873047
351,easy,0,35,0.025713205337524414
352,easy,0,22,0.016515254974365234
353,easy,0,27,0.021479129791259766
354,easy,1,3,0.0023012161254882812
355,easy,1,5,0.004327058792114258
356,easy,0,29,0.024585962295532227
357,easy,0,25,0.02184295654296875
358,easy,1,4,0.0031130313873291016
359,easy,0,23,0.014577150344848633
360,easy,0,36,0.03452610969543457
361,easy,1,3,0.002077817916870117
362,easy,1,3,0.0020890235900878906
363,easy,0,28,0.022558212280273438
364,easy,0,35,0.02904796600341797
365,easy,0,31,0.03286099433898926
366,easy,1,4,0.0033779144287109375
367,easy,0,29,0.030164003372192383
368,easy,1,4,0.003483295440673828
369,easy,0,31,0.029304981231689453
370,easy,0,30,0.02920699119567871
371,easy,1,6,0.006053924560546875
372,easy,0,25,0.013773202896118164
373,easy,1,10,0.009263753890991211
374,easy,1,4,0.003531932830810547
375,easy,0,32,0.0305941104888916
376,easy,1,4,0.003576040267944336
377,easy,0,44,0.03922295570373535
378,easy,0,24,0.022882938385009766
379,easy,0,33,0.022174835205078125
380,easy,0,23,0.014677047729492188
381,easy,0,29,0.023008108139038086
382,easy,0,37,0.03728532791137695
383,easy,0,33,0.029142141342163086
384,easy,0,36,0.04110002517700195
385,easy,0,29,0.026421070098876953
386,easy,0,29,0.02212214469909668
387,easy,0,26,0.02457118034362793
388,easy,0,22,0.017013072967529297
389,easy,0,39,0.03144097328186035
390,easy,0,26,0.016193866729736328
391,easy,0,30,0.023122072219848633
392,easy,0,34,0.03873419761657715
393,easy,0,35,0.03357267379760742
394,easy,0,34,0.03447556495666504
395,easy,1,3,0.0023682117462158203
396,easy,0,21,0.014269828796386719
397,easy,0,38,0.04115486145019531
398,easy,0,28,0.01910996437072754
399,easy,1,4,0.0031256675720214844
400,easy,0,32,0.04309678077697754
401,easy,0,30,0.036787986755371094
402,easy,0,27,0.028512001037597656
403,easy,0,25,0.01978015899658203
404,easy,0,40,0.034281015396118164
405,easy,0,32,0.027772903442382812
406,easy,0,37,0.027011871337890625
407,easy,0,25,0.013094902038574219
408,easy,0,27,0.016551971435546875
409,easy,1,4,0.0031418800354003906
410,easy,0,31,0.0256502628326416
411,easy,0,18,0.01654219627380371
412,easy,0,27,0.01871514320373535
413,easy,0,30,0.0281219482421875
414,easy,1,3,0.0023717880249023438
415,easy,0,23,0.012244939804077148
416,easy,0,28,0.015109062194824219
417,easy,0,28,0.019711017608642578
418,easy,0,25,0.024158954620361328
419,easy,1,4,0.0035588741302490234
420,easy,0,28,0.06143689155578613
421,easy,0,37,0.03328895568847656
422,easy,0,30,0.03839111328125
423,easy,1,5,0.004125833511352539
424,easy,0,39,0.037889957427978516
425,easy,0,29,0.023502111434936523
426,easy,0,30,0.02500319480895996
427,easy,0,20,0.016548871994018555
428,easy,0,27,0.02060532569885254
429,easy,0,26,0.01559901237487793
430,easy,0,33,0.0261228084564209
431,easy,1,24,0.016667842864990234
432,easy,0,29,0.02147388458251953
433,easy,1,4,0.003036975860595703
434,easy,0,32,0.01836991310119629
