Game,Level,Result,Num of steps,Time
255,easy,1,5,0.003468036651611328
256,easy,0,17,0.04169321060180664
257,easy,0,32,0.06156611442565918
258,easy,0,30,0.06278872489929199
259,easy,1,3,0.0032906532287597656
260,easy,1,3,0.0010230541229248047
261,easy,0,27,0.0639190673828125
262,easy,0,20,0.03748893737792969
263,easy,0,34,0.05655980110168457
264,easy,0,18,0.024969100952148438
265,easy,0,23,0.03170919418334961
266,easy,0,28,0.06129312515258789
267,easy,0,24,0.057967185974121094
268,easy,1,19,0.02324700355529785
269,easy,0,38,0.07757306098937988
270,easy,0,21,0.03534531593322754
271,easy,1,9,0.020567893981933594
272,easy,0,17,0.02273416519165039
273,easy,0,25,0.05085492134094238
274,easy,0,24,0.03249192237854004
275,easy,0,22,0.03215909004211426
276,easy,0,20,0.0420989990234375
277,easy,0,19,0.018575191497802734
278,easy,0,21,0.04063987731933594
279,easy,0,29,0.04585123062133789
280,easy,0,25,0.03047490119934082
281,easy,0,21,0.036309003829956055
282,easy,0,17,0.010994195938110352
283,easy,0,22,0.02747488021850586
284,easy,1,25,0.04953193664550781
285,easy,0,26,0.05132579803466797
286,easy,0,38,0.0590672492980957
287,easy,1,3,0.0009450912475585938
288,easy,1,28,0.04421496391296387
289,easy,0,12,0.019021987915039062
290,easy,0,20,0.04103398323059082
291,easy,0,33,0.05542325973510742
292,easy,0,26,0.06227612495422363
293,easy,1,3,0.0009720325469970703
294,easy,1,6,0.010296106338500977
295,easy,0,24,0.036396026611328125
296,easy,0,24,0.0402529239654541
297,easy,1,5,0.002588987350463867
298,easy,0,35,0.07715034484863281
299,easy,0,44,0.06336092948913574
300,easy,1,3,0.0007259845733642578
301,easy,0,20,0.043560028076171875
302,easy,0,20,0.036522865295410156
303,easy,0,18,0.016299724578857422
304,easy,1,9,0.011602163314819336
305,easy,0,35,0.06510400772094727
306,easy,0,24,0.03163504600524902
307,easy,0,21,0.024015188217163086
308,easy,1,3,0.002935171127319336
309,easy,0,21,0.0444338321685791
310,easy,0,37,0.04846000671386719
311,easy,0,26,0.03738594055175781
312,easy,0,23,0.04196906089782715
313,easy,0,29,0.03972983360290527
314,easy,0,27,0.054811954498291016
315,easy,1,6,0.011683940887451172
316,easy,0,39,0.07116293907165527
317,easy,0,18,0.03022909164428711
318,easy,1,3,0.0008399486541748047
319,easy,0,36,0.06535029411315918
320,easy,0,24,0.026526927947998047
321,easy,0,18,0.027826786041259766
322,easy,0,29,0.061640024185180664
323,easy,0,26,0.05433964729309082
324,easy,1,3,0.0009620189666748047
325,easy,0,38,0.06536602973937988
326,easy,0,35,0.07835507392883301
327,easy,0,32,0.05879497528076172
328,easy,1,4,0.005886077880859375
329,easy,1,29,0.0546109676361084
330,easy,0,26,0.03674626350402832
331,easy,0,23,0.027133941650390625
332,easy,1,4,0.0020890235900878906
333,easy,0,29,0.03279471397399902
334,easy,1,7,0.015587091445922852
335,easy,0,27,0.036789655685424805
336,easy,1,17,0.037200927734375
337,easy,1,3,0.0024390220642089844
338,easy,1,12,0.014724016189575195
339,easy,0,16,0.029481887817382812
340,easy,0,26,0.04825901985168457
341,easy,0,26,0.060658931732177734
342,easy,0,42,0.054178714752197266
343,easy,0,15,0.019554615020751953
344,easy,0,28,0.0534820556640625
345,easy,0,26,0.047907114028930664
346,easy,0,27,0.02647089958190918
347,easy,0,26,0.05230212211608887
348,easy,0,33,0.043939828872680664
349,easy,1,3,0.0019860267639160156
350,easy,1,7,0.007911920547485352
351,easy,0,30,0.06708478927612305
352,easy,1,6,0.00404810905456543
353,easy,1,10,0.02299022674560547
354,easy,0,21,0.04179716110229492
355,easy,0,36,0.05822491645812988
356,easy,1,3,0.0046651363372802734
357,easy,0,24,0.03772330284118652
358,easy,0,12,0.011784791946411133
359,easy,0,24,0.04110312461853027
360,easy,0,50,0.09588408470153809
361,easy,1,6,0.010146856307983398
362,easy,0,32,0.050553083419799805
363,easy,1,4,0.007135152816772461
364,easy,1,11,0.027315855026245117
365,easy,0,21,0.033989906311035156
366,easy,1,3,0.0010328292846679688
367,easy,1,11,0.01571798324584961
368,easy,0,23,0.037491798400878906
369,easy,1,3,0.0021982192993164062
370,easy,0,20,0.02177882194519043
371,easy,0,29,0.057907819747924805
372,easy,0,33,0.0735464096069336
373,easy,0,26,0.03947615623474121
374,easy,0,30,0.05905485153198242
375,easy,1,4,0.004616975784301758
376,easy,0,25,0.039441823959350586
377,easy,1,3,0.0009794235229492188
378,easy,0,28,0.056617021560668945
379,easy,0,24,0.05715298652648926
380,easy,1,4,0.002726316452026367
381,easy,0,32,0.05181407928466797
382,easy,0,18,0.0185239315032959
383,easy,0,28,0.060240983963012695
384,easy,1,15,0.03356194496154785
385,easy,0,25,0.03316497802734375
386,easy,0,29,0.04974794387817383
387,easy,1,3,0.0008718967437744141
388,easy,0,25,0.045027971267700195
389,easy,0,33,0.06459617614746094
390,easy,0,23,0.03796887397766113
391,easy,1,7,0.008333921432495117
392,easy,1,24,0.03961491584777832
393,easy,0,36,0.06118488311767578
394,easy,1,3,0.0008411407470703125
395,easy,0,31,0.07630395889282227
396,easy,0,34,0.06273269653320312
397,easy,0,34,0.05649900436401367
398,easy,0,25,0.05920004844665527
399,easy,0,25,0.044265031814575195
400,easy,0,24,0.03901386260986328
401,easy,0,10,0.012665748596191406
402,easy,0,31,0.036808013916015625
403,easy,1,35,0.09058785438537598
404,easy,1,3,0.000965118408203125
405,easy,0,28,0.04104900360107422
406,easy,0,40,0.07085418701171875
407,easy,1,3,0.00096893310546875
408,easy,0,28,0.058099985122680664
409,easy,1,3,0.0009598731994628906
410,easy,0,29,0.04545903205871582
411,easy,0,30,0.04391312599182129
412,easy,1,9,0.014636993408203125
413,easy,0,31,0.044695138931274414
414,easy,1,3,0.0037560462951660156
415,easy,1,3,0.0026710033416748047
416,easy,1,3,0.00121307373046875
417,easy,0,19,0.0294191837310791
418,easy,0,35,0.04945683479309082
419,easy,1,4,0.0017883777618408203
420,easy,0,29,0.07111907005310059
421,easy,1,4,0.0020160675048828125
422,easy,0,30,0.05425000190734863
423,easy,0,25,0.04471302032470703
424,easy,1,5,0.002746105194091797
425,easy,0,26,0.05163908004760742
426,easy,0,25,0.035929203033447266
427,easy,1,3,0.0010869503021240234
428,easy,1,5,0.006552219390869141
429,easy,1,3,0.000997781753540039
430,easy,0,23,0.029124736785888672
431,easy,0,21,0.020820140838623047
432,easy,1,5,0.009924888610839844
433,easy,0,32,0.0516209602355957
434,easy,0,18,0.02770709991455078
435,easy,1,4,0.0018012523651123047
436,easy,1,3,0.000949859619140625
437,easy,0,30,0.08257484436035156
438,easy,0,32,0.05460309982299805
439,easy,1,5,0.002827167510986328
440,easy,0,22,0.02696084976196289
441,easy,0,34,0.058999061584472656
442,easy,1,33,0.09374380111694336
443,easy,1,28,0.07458996772766113
444,easy,0,43,0.08121013641357422
445,easy,0,22,0.05134701728820801
446,easy,0,24,0.03831887245178223
447,easy,1,19,0.043766021728515625
448,easy,0,21,0.026273012161254883
449,easy,0,30,0.03410601615905762
450,easy,0,26,0.035021066665649414
451,easy,1,21,0.044431209564208984
452,easy,1,3,0.0009751319885253906
453,easy,1,31,0.06430411338806152
454,easy,0,18,0.031865835189819336
455,easy,0,26,0.051930904388427734
456,easy,0,27,0.026987075805664062
457,easy,0,32,0.07900381088256836
458,easy,0,26,0.0455930233001709
459,easy,0,35,0.07538509368896484
460,easy,0,18,0.05171680450439453
461,easy,0,22,0.021470069885253906
462,easy,1,4,0.0025811195373535156
463,easy,0,20,0.026156187057495117
464,easy,0,20,0.019176959991455078
465,easy,1,3,0.0016312599182128906
466,easy,1,3,0.0030736923217773438
467,easy,0,26,0.03116607666015625
468,easy,0,28,0.047039031982421875
469,easy,0,25,0.030703067779541016
470,easy,1,19,0.03829026222229004
471,easy,0,20,0.03477907180786133
472,easy,1,3,0.001055002212524414
473,easy,1,3,0.005335807800292969
474,easy,0,20,0.03154110908508301
475,easy,0,26,0.04702425003051758
476,easy,1,3,0.0012311935424804688
477,easy,0,23,0.03495669364929199
478,easy,0,19,0.03662276268005371
479,easy,1,4,0.0020520687103271484
480,easy,0,26,0.04159402847290039
481,easy,0,19,0.031748056411743164
482,easy,0,26,0.044403076171875
483,easy,1,6,0.004302024841308594
484,easy,0,32,0.04297184944152832
485,easy,0,25,0.055094003677368164
486,easy,1,3,0.001132965087890625
487,easy,0,25,0.037071943283081055
488,easy,0,21,0.030260086059570312
489,easy,0,28,0.039846181869506836
490,easy,0,14,0.014328718185424805
491,easy,0,30,0.0654299259185791
492,easy,0,32,0.06604218482971191
493,easy,1,3,0.0013301372528076172
494,easy,0,17,0.01989889144897461
495,easy,1,4,0.0016009807586669922
496,easy,0,35,0.04986095428466797
497,easy,0,32,0.06400489807128906
498,easy,0,33,0.07214212417602539
499,easy,0,14,0.022507905960083008
500,easy,1,14,0.019292831420898438
501,easy,1,3,0.003398895263671875
502,easy,1,3,0.0021500587463378906
503,easy,0,28,0.05585503578186035
504,easy,0,21,0.03127098083496094
505,easy,0,30,0.03326606750488281
506,easy,0,25,0.042191267013549805
507,easy,0,27,0.03582477569580078
508,easy,1,32,0.08036994934082031
509,easy,0,34,0.05660200119018555
510,easy,0,20,0.03964710235595703
511,easy,0,27,0.032262325286865234
512,easy,1,22,0.02536606788635254
513,easy,0,27,0.05073189735412598
514,easy,0,26,0.038398027420043945
515,easy,0,30,0.05719304084777832
516,easy,0,18,0.017586946487426758
517,easy,1,6,0.010794639587402344
518,easy,1,3,0.0030188560485839844
519,easy,0,25,0.0333559513092041
520,easy,1,3,0.004137992858886719
521,easy,0,19,0.038484811782836914
522,easy,0,39,0.06804084777832031
523,easy,1,4,0.0017390251159667969
524,easy,0,26,0.03784513473510742
525,easy,0,29,0.03583478927612305
526,easy,0,19,0.03261995315551758
527,easy,0,30,0.04111909866333008
528,easy,0,26,0.05333995819091797
529,easy,0,35,0.06348800659179688
530,easy,0,23,0.02585911750793457
531,easy,0,40,0.11505627632141113
532,easy,0,32,0.0805518627166748
533,easy,0,26,0.03936910629272461
534,easy,0,28,0.04616689682006836
535,easy,0,20,0.03292417526245117
536,easy,0,31,0.03471183776855469
537,easy,0,39,0.07359838485717773
538,easy,1,3,0.007174015045166016
539,easy,0,29,0.06490802764892578
540,easy,0,31,0.046205997467041016
541,easy,1,3,0.0013949871063232422
542,easy,0,35,0.06330537796020508
543,easy,0,27,0.045526981353759766
544,easy,0,33,0.07292008399963379
545,easy,1,4,0.0028228759765625
546,easy,1,3,0.0036568641662597656
547,easy,1,6,0.010232925415039062
548,easy,0,22,0.05751299858093262
549,easy,1,6,0.01503896713256836
550,easy,0,30,0.051267147064208984
551,easy,0,31,0.0350489616394043
552,easy,0,25,0.0716087818145752
553,easy,1,5,0.004068136215209961
554,easy,1,3,0.0013167858123779297
555,easy,0,20,0.03394508361816406
556,easy,1,6,0.011820077896118164
557,easy,0,21,0.02529001235961914
558,easy,0,32,0.06251192092895508
559,easy,0,31,0.049814701080322266
560,easy,0,28,0.03640103340148926
561,easy,0,24,0.04550600051879883
562,easy,0,28,0.04712796211242676
563,easy,0,27,0.029772043228149414
564,easy,0,29,0.03826093673706055
565,easy,0,25,0.04168701171875
566,easy,1,12,0.03569793701171875
567,easy,0,20,0.04281878471374512
568,easy,1,4,0.002514362335205078
569,easy,0,26,0.040006160736083984
570,easy,0,34,0.057025909423828125
571,easy,1,3,0.0008590221405029297
572,easy,1,30,0.06401681900024414
573,easy,1,4,0.007737159729003906
574,easy,1,3,0.0010020732879638672
575,easy,0,31,0.047804832458496094
576,easy,1,6,0.013772010803222656
577,easy,0,31,0.04716300964355469
578,easy,0,21,0.035875797271728516
579,easy,1,3,0.003799915313720703
580,easy,0,22,0.04194498062133789
581,easy,0,26,0.049565792083740234
582,easy,0,22,0.034195899963378906
583,easy,0,22,0.03577280044555664
584,easy,0,26,0.038870811462402344
585,easy,0,23,0.05026888847351074
586,easy,0,29,0.04540705680847168
587,easy,1,5,0.0026400089263916016
588,easy,0,20,0.030303955078125
589,easy,1,4,0.00632023811340332
590,easy,0,29,0.0619969367980957
591,easy,1,3,0.0008399486541748047
592,easy,0,40,0.08689117431640625
593,easy,1,5,0.007246732711791992
594,easy,0,28,0.05251812934875488
595,easy,1,28,0.041230201721191406
596,easy,1,6,0.003718852996826172
597,easy,1,5,0.0036737918853759766
598,easy,0,42,0.0936279296875
599,easy,0,21,0.03173995018005371
600,easy,0,28,0.07016491889953613
601,easy,0,19,0.01987624168395996
602,easy,1,10,0.025391817092895508
603,easy,1,14,0.027181625366210938
604,easy,0,26,0.03942608833312988
605,easy,0,31,0.06282210350036621
606,easy,0,28,0.05901598930358887
607,easy,1,4,0.0035920143127441406
608,easy,1,31,0.055088043212890625
609,easy,0,21,0.018204212188720703
610,easy,1,5,0.0060842037200927734
611,easy,1,3,0.0009791851043701172
612,easy,0,24,0.024645328521728516
613,easy,1,20,0.04951214790344238
614,easy,1,16,0.02521514892578125
615,easy,0,29,0.049942970275878906
616,easy,0,23,0.05117011070251465
617,easy,0,32,0.08969283103942871
618,easy,1,8,0.010283946990966797
619,easy,0,23,0.032408952713012695
620,easy,0,21,0.03951430320739746
621,easy,0,39,0.07000184059143066
622,easy,0,30,0.06373405456542969
623,easy,0,30,0.062023162841796875
624,easy,0,21,0.06831789016723633
625,easy,0,28,0.05510663986206055
626,easy,0,29,0.05185270309448242
627,easy,0,36,0.07292389869689941
628,easy,0,28,0.0668179988861084
629,easy,0,21,0.0605320930480957
630,easy,0,22,0.03652811050415039
631,easy,0,28,0.04798388481140137
632,easy,1,3,0.004043102264404297
633,easy,1,6,0.006751060485839844
634,easy,0,32,0.09263396263122559
635,easy,1,5,0.004389762878417969
636,easy,0,30,0.033019065856933594
637,easy,0,28,0.06059098243713379
638,easy,1,3,0.003223896026611328
639,easy,0,27,0.07280588150024414
640,easy,1,3,0.002566814422607422
641,easy,1,5,0.008108854293823242
642,easy,1,4,0.0026929378509521484
643,easy,1,3,0.0020160675048828125
644,easy,0,30,0.04911303520202637
645,easy,0,20,0.028416156768798828
646,easy,0,22,0.045263051986694336
647,easy,0,29,0.057679176330566406
648,easy,0,24,0.03962397575378418
649,easy,0,17,0.0331270694732666
650,easy,1,3,0.003820180892944336
651,easy,0,20,0.049844980239868164
652,easy,0,37,0.055023908615112305
653,easy,0,19,0.014401912689208984
654,easy,1,3,0.0011436939239501953
